1652846691,3.7427984220514965/3.5437950053734957,-0.2378321420689531/10.4507216306345,8.194564350095561/4.792433417728038,16.25844307850059/5.543518939954069
1652846699,6.149565961394266/0.8527955227942883,-0.2378321420689531/10.4507216306345,9.47949415914701/0.6622374405010354,16.495531153115962/9.291152837761926
1652846706,8.263479700028082/0.5109844837739768,-0.2378321420689531/10.4507216306345,9.47949415914701/0.6622374405010354,12.736070442115988/13.465938533990503
1652846714,8.263479700028082/0.5109844837739768,-0.2378321420689531/10.4507216306345,5.762827056724802/5.200704968087664,13.466764612133659/16.286489795617936
1652846721,6.828956187850601/2.209933369290542,2.342403468089401/10.51726671045602,5.686993754163552/5.590951134501955,5.810949607213161/9.770807412394703
1652846729,11.42078452623622/10.46850998106436,-0.4564094586585554/14.278612084255272,8.214386742735996/5.5068849002069715,7.759186339889652/7.251327795624171
1652846736,12.509182785951976/9.509083471755563,3.4520354789914336/6.768729034501099,7.518603596947514/6.9227282718350915,13.449107982033752/0.7422563798455666
1652846744,8.542706479114756/5.715927401082888,5.4777809260426125/2.6661768808340325,6.739249874992822/9.772274035541257,10.267797771509436/3.7321219026738586
1652846752,8.542706479114756/5.715927401082888,7.337688174887745/0.28723828540774,6.739249874992822/9.772274035541257,6.819794053123985/7.180240352618341
1652846759,3.113434427990181/6.084834328657722,3.7449699375093815/4.368980701305045,5.502303598962385/13.167439151082672,6.819794053123985/7.180240352618341
1652846767,2.806238008195135/5.792316613099825,2.4778238125159078/4.347698187047877,11.838969612875815/14.153184672016637,5.77499600878491/7.428230789117848
1652846774,2.5634032629838206/4.7462575288284565,6.751207617644553/1.5016954053704206,9.73889220529037/7.5425903681097815,5.77499600878491/7.428230789117848
1652846782,8.477911071183414/12.334851420629153,11.323679204670157/2.473464569035886,10.809489263476905/6.213615210247159,12.255300901585201/13.44818365101088
1652846789,10.973439788271273/7.140038785035223,7.076041378621738/6.923973488885248,13.461619229563041/1.7186994235628528,6.69123673427265/16.469280880836937
1652846797,11.453993331424499/5.75161037269701,1.6959197517959694/11.445058249513151,13.461619229563041/1.7186994235628528,6.69123673427265/16.469280880836937
1652846804,11.453993331424499/5.75161037269701,1.6959197517959694/11.445058249513151,13.461619229563041/1.7186994235628528,6.504454889777037/12.712013770470907
1652846812,7.800271235948545/1.800909460712735,1.6959197517959694/11.445058249513151,13.461619229563041/1.7186994235628528,6.504454889777037/12.712013770470907
1652846819,7.800271235948545/1.800909460712735,8.30155189713426/13.467679331569137,8.838595761426177/6.1614413506083086,8.458753455380815/8.729606304154029
1652846827,0.7411501915370258/1.5201035050893563,8.30155189713426/13.467679331569137,8.838595761426177/6.1614413506083086,0.8804903792498635/11.165116644125874
1652846834,4.199647774638374/1.8002796374683157,13.80489414869433/13.498411943011847,8.838595761426177/6.1614413506083086,9.22429770658357/7.741054558099956
1652846842,4.199647774638374/1.8002796374683157,13.822309834897197/15.177678007691632,8.50026648060259/15.812709640227588,11.41092652282174/2.0194668733028545
1652846850,6.147325490158798/3.1737056172030806,9.811701826947143/15.49563571029385,8.500219502442292/16.24048562131125,11.459166349939494/1.7316148577457668
1652846857,9.226815144019792/6.226896783301813,11.449581869310549/11.819144292563035,8.500219502442292/16.24048562131125,8.848066043260246/4.151795507039196
1652846865,9.226815144019792/6.226896783301813,15.473393431166272/5.683334556233157,14.318864968149114/14.527904313477126,9.309792193863814/4.532688804970345
1652846872,12.451040825501781/9.451012699990802,13.815699619558245/7.181214036847873,12.4777699218115/14.112090193447015,9.309792193863814/4.532688804970345
1652846880,16.267513017233508/11.457677115102477,13.815699619558245/7.181214036847873,8.707547621516369/8.535337195036835,9.309792193863814/4.532688804970345
1652846887,11.745773310016265/13.456178956185356,8.59306270803063/10.591991037112644,8.707547621516369/8.535337195036835,4.3921950596582064/9.607867255532266
1652846895,1.7644438057522889/13.499860711427434,1.7235193933759092/5.539749890280203,8.198531143366267/8.942006148266252,0.22221267996485494/13.686956963609676
1652846902,1.7644438057522889/13.499860711427434,1.5020725232096481/10.617173687597958,4.784261659290735/11.43361625432984,0.22221267996485494/13.686956963609676
1652846910,-0.44889751932651334/10.804483530571002,7.95917316838856/13.498173889723578,10.365819524636095/6.6340333786185575,0.22221267996485494/13.686956963609676
1652846917,-0.44889751932651334/10.804483530571002,11.220096311255986/13.499659573346495,11.698369917423463/3.462159848983683,0.22221267996485494/13.686956963609676
1652846925,1.5171652168203984/8.691841856047008,13.445084149813994/10.81532425277429,6.096436395040598/6.095197598691422,0.22221267996485494/13.686956963609676
1652846933,5.271434195692325/7.540114084530334,13.445084149813994/10.81532425277429,5.796152318681493/5.7955704383292055,3.427111394899157/9.881148433447336
1652846940,6.04671739649931/10.560667374627943,6.760018120703933/9.729892507657103,5.796152318681493/5.7955704383292055,4.45507458384742/7.741401526469021
1652846948,11.460468315963475/4.625231818194887,5.702439819761196/9.540907372674283,5.796152318681493/5.7955704383292055,2.669516611514041/6.5346659239533755
1652846955,7.757811517579871/5.242215116281845,5.702439819761196/9.540907372674283,5.796152318681493/5.7955704383292055,4.4456945136666945/-0.16644245877735475
1652846963,1.3099989788445932/9.814535141084159,0.7213075796019552/13.456654260961669,5.796152318681493/5.7955704383292055,4.4456945136666945/-0.16644245877735475
